route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B0009,FULLW, TB0009024,,0,,SB00090
B0009,FULLW, TB0009025,,0,,SB00090
B0009,FULLW, TB0009026,,0,,SB00090
B0009,FULLW, TB0009027,,0,,SB00090
B0009,FULLW, TB0009028,,0,,SB00090
B0009,FULLW, TB0009029,,0,,SB00090
B0009,FULLW, TB0009030,,0,,SB00090
B0009,FULLW, TB0009031,,0,,SB00090
B0009,FULLW, TB0009032,,0,,SB00090
B0009,FULLW, TB0009033,,0,,SB00090
B0009,FULLW, TB0009034,,0,,SB00090
B0009,FULLW, TB0009035,,0,,SB00090
B0009,FULLW, TB0009036,,0,,SB00090
B0009,FULLW, TB0009037,,0,,SB00090
B0009,FULLW, TB0009038,,0,,SB00090
B0009,FULLW, TB0009039,,0,,SB00090
B0009,FULLW, TB0009040,,0,,SB00090
B0009,FULLW, TB0009041,,0,,SB00090
B0009,FULLW, TB0009042,,0,,SB00090
B0009,FULLW, TB0009043,,0,,SB00090
B0009,FULLW, TB0009044,,0,,SB00090
B0009,FULLW, TB0009045,,0,,SB00090
B0009,FULLW, TB0009046,,0,,SB00090
B0009,FULLW, TB0009047,,0,,SB00090
B0009,FULLW, TB0009048,,0,,SB00090
B0009,FULLW, TB0009049,,0,,SB00090
B0009,FULLW, TB0009050,,0,,SB00090
B0009,FULLW, TB0009051,,0,,SB00090
B0009,FULLW, TB0009052,,0,,SB00090
B0009,FULLW, TB0009053,,0,,SB00090
B0009,FULLW, TB0009054,,0,,SB00090
B0009,FULLW, TB0009055,,0,,SB00090
B0009,FULLW, TB0009056,,0,,SB00090
B0009,FULLW, TB0009057,,0,,SB00090
B0009,FULLW, TB0009058,,0,,SB00090
B0009,FULLW, TB0009059,,0,,SB00090
B0009,FULLW, TB0009060,,0,,SB00090
B0009,FULLW, TB0009061,,0,,SB00090
B0009,FULLW, TB0009062,,0,,SB00090
B0009,FULLW, TB0009063,,0,,SB00090
B0009,FULLW, TB0009064,,0,,SB00090
B0009,FULLW, TB0009065,,0,,SB00090
B0009,FULLW, TB0009066,,0,,SB00090
B0009,FULLW, TB0009067,,0,,SB00090
B0009,FULLW, TB0009068,,0,,SB00090
B0009,FULLW, TB0009069,,0,,SB00090
B0009,FULLW, TB0009070,,0,,SB00090
B0009,FULLW, TB0009071,,0,,SB00090
B0009,FULLW, TB0009072,,0,,SB00090
B0009,FULLW, TB0009073,,0,,SB00090
B0009,FULLW, TB0009074,,0,,SB00090
B0009,FULLW, TB0009075,,0,,SB00090
B0009,FULLW, TB0009076,,0,,SB00090
B0009,FULLW, TB0009077,,0,,SB00090
B0009,FULLW, TB0009078,,0,,SB00090
B0009,FULLW, TB0009079,,0,,SB00090
B0009,FULLW, TB0009080,,0,,SB00090
B0009,FULLW, TB0009081,,0,,SB00090
B0009,FULLW, TB0009082,,0,,SB00090
B0009,FULLW, TB0009083,,0,,SB00090
B0009,FULLW, TB0009084,,0,,SB00090
B0009,FULLW, TB0009085,,0,,SB00090
B0009,FULLW, TB0009086,,0,,SB00090
B0009,FULLW, TB0009087,,0,,SB00090
B0009,FULLW, TB0009088,,0,,SB00090
B0009,FULLW, TB0009089,,0,,SB00090
B0009,FULLW, TB0009090,,0,,SB00090
B0009,FULLW, TB0009091,,0,,SB00090
B0009,FULLW, TB0009092,,0,,SB00090
B0009,FULLW, TB0009093,,0,,SB00090
B0009,FULLW, TB0009094,,0,,SB00090
B0009,FULLW, TB0009095,,0,,SB00090
B0009,FULLW, TB0009096,,0,,SB00090
B0009,FULLW, TB0009097,,0,,SB00090
B0009,FULLW, TB0009098,,0,,SB00090
B0009,FULLW, TB0009099,,0,,SB00090
B0009,FULLW, TB00090100,,0,,SB00090
B0009,FULLW, TB00090101,,0,,SB00090
B0009,FULLW, TB00090102,,0,,SB00090
B0009,FULLW, TB00090103,,0,,SB00090
B0009,FULLW, TB00090104,,0,,SB00090
B0009,FULLW, TB00090105,,0,,SB00090
B0009,FULLW, TB00090106,,0,,SB00090
