shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SB00010,13.72148891647154,100.5306860236046,1,
SB00010,13.71737754540575,100.5327025386936,2,
SB00010,13.71248439867996,100.5351424397474,3,
SB00010,13.70722918880836,100.5377741658545,4,
SB00010,13.70483563005709,100.5390710025571,5,
SB00010,13.70266239016032,100.5403359338179,6,
SB00010,13.69925609704547,100.5427506895282,7,
SB00010,13.69817806617053,100.5436594847278,8,
SB00010,13.69654190005409,100.5453861282755,9,
SB00010,13.69530931853643,100.5470663892937,10,
SB00010,13.69278807939153,100.5475104703276,11,
SB00010,13.69197677282426,100.5474943010295,12,
SB00010,13.68936827661345,100.5476745830219,13,
SB00010,13.68895123702373,100.5477976502927,14,
SB00010,13.68242552367981,100.5480765442098,15,
SB00010,13.6803091752271,100.5476807603109,16,
SB00010,13.67856025360245,100.5470369083395,17,
SB00010,13.67725852221956,100.5463085568958,18,
SB00010,13.67658680841536,100.5458308249831,19,
SB00010,13.67609763693765,100.5454841511172,20,
SB00010,13.67600941964182,100.545352046072,21,
SB00010,13.67527159032341,100.544732825246,22,
SB00010,13.67467795597469,100.5440557342332,23,
SB00010,13.67413309297243,100.54325532893,24,
SB00010,13.67316582869,100.5413507402655,25,
SB00010,13.6730936428466,100.5410615483652,26,
SB00010,13.67296538570454,100.5404508248197,27,
SB00010,13.6729413832665,100.5397131805915,28,
SB00010,13.67296560462628,100.5386319102334,29,
SB00010,13.67306189436613,100.5379464822819,30,
SB00010,13.67320634896517,100.5372658170719,31,
SB00010,13.67355940723982,100.5364578989116,32,
SB00010,13.6741050783134,100.5352607134752,33,
SB00010,13.67461054745968,100.5341627009335,34,
SB00010,13.67547168705084,100.5329133317134,35,
SB00010,13.67653092065555,100.5315755046385,36,
SB00010,13.67667363860796,100.5313641567546,37,
SB00010,13.677997590329,100.5299518653065,38,
SB00010,13.68117996998008,100.5267081963035,39,
SB00010,13.68130764747171,100.5266018600203,40,
SB00010,13.68145429762137,100.526403764937,41,
SB00010,13.68223243949518,100.5253727548241,42,
SB00010,13.683524530338,100.5237612273625,43,
SB00010,13.68368077569303,100.5234599581975,44,
SB00010,13.68525288223693,100.5209925795947,45,
