stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
BS000024,BRTสาทร,,13.72134803078348,100.5303834580838,
BS000023,BRT อาคารสงเคราะห์,,13.71718652642602,100.5324853553479,
BS000022,BRT เทคนิคกรุงเทพ,,13.71233286344937,100.5348858882699,
BS000021,BRT ถนนจันทร์,,13.70466767114236,100.5388528897942,
BS000020,BRT นราราม3,,13.69625122932426,100.5452198416153,
BS000019,BRT วัดด่าน,,13.67427791101811,100.5431254170029,
BS000018,BRT วัดปริวาส,,13.67475877470342,100.5342944057579,
BS000017,BRT วัดดอกไม้,,13.68239371961049,100.5254890782016,
BS000016,BRT สะพานพระราม9,,13.68826180536567,100.515516232994,
BS000015,BRT เจริญราษฎ์,,13.69031500900963,100.5043263715553,
BS000014,BRT สะพานพระราม3,,13.69400300867879,100.5001664342535,
BS000013,BRT ราชพฤกษ์,,13.71599482988795,100.4792881225124,
BS000012,BRT ราชพฤกษ์,,13.71608,100.47924,
BS000011,BRT สะพานพระราม 3,,13.69384297730305,100.4999937738619,
BS000010,BRT เจริญราษฏ์,,13.69012187812535,100.504216630141,
BS000009,BRT สะพานพระราม 9,,13.6880750558091,100.5154336116234,
BS000008,BRT วัดดอกไม้,,13.68222067620174,100.5253726881121,
BS000007,BRT วัดปริวาศ,,13.6746056829659,100.5341850683445,
BS000006,BRT วัดด่าน,,13.67411144013994,100.5432418179341,
BS000005,BRT นราราม3,,13.69642676970828,100.5453722386746,
BS000004,BRT ถนนจันทร์,,13.70475875392883,100.5390332453638,
BS000003,BRT เทคนิคกรุงเทพ,,13.71244620477846,100.5351467354896,
BS000002,BRT อาคารสงเคราะห์,,13.71728001449841,100.5326915684187,
BS000001,BRT สาทร,,13.72142314884234,100.5306922351501,
BS000025,พระอาทิตย์,,13.76354418152595,100.4940370198427,
BS000026,วังหลัง(พรานนก),,13.75600610217303,100.4869498003762,
BS000027,มหาราช,,13.75665625153027,100.4886609710523,
BS000028,ท่าเตียน,,13.74628500752022,100.4898719965618,
BS000029,ราชวงศ์,,13.7386197267511,100.5042634520356,
BS000030,สี่พระยา,,13.72841607214698,100.5131841207389,
BS000031,โอเรียนเท็ล,,13.7232976572573,100.5135408084817,
BS000032,สาทร(ตากสิน),,13.71886022391917,100.5127192593848,
BS000033,ปากเกร็ด,,13.9153317915983,100.4946249708917,
BS000034,วัดกลางเกร็ด,,13.90527300669896,100.491323783691,
BS000035,กระทรวงพานิชย์,,13.88305068252327,100.4845117519186,
BS000036,นนทบุรี(พิบูลย์สงคราม 3),,13.84206825874414,100.4911458129629,
BS000037,พระราม 7,,13.81288413310259,100.5134691013251,
BS000038,สะพานกรุงธน(ซังฮี้),,13.78186349307184,100.5010764845576,
BS000039,เทเวศร์,,13.77213464784841,100.5000972483291,
BS000040,พระปิ่นเกล้า,,13.76300698166413,100.4906250149819,
BS000041,ท่าช้าง,,13.75241031625138,100.4882930250339,
BS000042,พระราม 5,,13.83221571582178,100.4938222521415,
BS000043,เกียกกาย,,13.79880891430159,100.5170131964536,
BS000044,พายัพ,,13.78751331163752,100.5080543848228,
BS000045,สะพานพุทธ,,13.73970469197786,100.4983927871229,
BS000046,กรมเจ้าท่า,,13.73249610764171,100.5118369682785,
BS000047,วัดวรจรรยาวาส,,13.70920282129396,100.5066265084624,
BS000048,วัดราชสิงขร,,13.70654436537902,100.503839195459,
BS000049,พิบูลย์สงคราม 2,,13.83284291801282,100.496389891401,
BS000050,วัดเขียน,,13.82830651631097,100.496630159249,
BS000051,วัดตึก,,13.82444118773589,100.4987757562109,
BS000052,วัดเขมา,,13.82229223732793,100.5020459825079,
BS000053,พิบูลย์สงคราม 1,,13.81765152403762,100.5055295093556,
BS000054,วัดสร้อยทอง,,13.81206669585517,100.5174097057431,
BS000055,เขียวไข่กา,,13.7911178972079,100.5116464152737,
BS000056,กรมชลประทาน,,13.78876476453098,100.5095288664882,
BS000057,พระราม 8,,13.76759354774552,100.4974565232079,
BS000058,ราชินี,,13.74157183544001,100.493959987527,
BS000059,วัดม่วงแค,,13.72602277869282,100.513535039957,
BS000060,วัดเศวตรฉัตร,,13.71266411734247,100.5071826694159,
BS000061,ราษฏร์บูรณะ(บิ๊กซี),,13.685185631894,100.5001574676818,
BS000062,วัดศรีบุญเรือง,,13.76715981247076,100.6513781974899,
BS000063,บางกะปิ,,13.76501921617911,100.6473723618536,
BS000064,เดอะมอลล์บางกะปิ,,13.76466238071821,100.6434345966784,
BS000065,วัดกลาง,,13.76344504601573,100.6335521045587,
BS000066,สะพานมิตรภาพมหาดไทย,,13.76215832376331,100.6236918715789,
BS000067,ม.รามคำแหง 53,,13.7615377379067,100.6183471056232,
BS000068,วัดเทพลีลา,,13.75986974935773,100.6137130840319,
BS000069,รามคำแหง 29,,13.75807963714892,100.6118841286593,
BS000070,เดอะมอลล์ 3,,13.75423876727926,100.6076272703699,
BS000071,สะพานคลองตัน,,13.74196498275147,100.5982589371079,
BS000072,ร.ร.วิจิตร,,13.74150593607053,100.5941031388333,
BS000073,ชาญอิสระ,,13.74271300901172,100.5884760854171,
BS000074,ซอยทองหล่อ,,13.74319167860509,100.585860057668,
BS000075,สุเหล่าบ้านดอน,,13.7441389092513,100.5814371067833,
BS000076,วัดใหม่ช่องลม,,13.74569738744483,100.5746069654048,
BS000077,อิตัลไทย,,13.7459522844739,100.573493096131,
BS000078,มศว.ประสานมิตร,,13.74729313685722,100.5658097826696,
BS000079,อโศก,,13.74787142013227,100.5629696593403,
BS000080,นานาชาติ,,13.74835689711234,100.5591518283377,
