route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
B0062,A003,183ร, อนุสาวรีย์ชัยสมรภูมิ - อ้อมใหญ่,,3,,FFFFFF,000000
B0063,A003,185, หมู่บ้านรัตนโกสินทร์ 200 ปี - คลองเตย,,3,,FFFFFF,000000
B0064,A003,187, หมู่บ้านเอื้ออาทรคลอง3 - ท่าน้ำสี่พระยา,,3,,FFFFFF,000000
B0065,A003,188, มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี - สถานีขนส่งผู้โดยสารกรุงเทพ(จตุจักร),,3,,FFFFFF,000000
B0066,A003,191, กระทรวงพาณิชย์ใหม่ - คลองจั่น,,3,,FFFFFF,000000
B0067,A003,195, คลองเตย - เดอะมอลล์ท่าพระ,,3,,FFFFFF,000000
B0068,A003,2, สำโรง - ปากคลองตลาด,,3,,FFFFFF,000000
B0069,A003,20, ป้อมพระจุล - ท่าน้ำดินแดง,,3,,FFFFFF,000000
B0070,A003,201ร, อนุสาวรีย์ชัยสมรภูมิ - พุทธมณฑลสาย 2,,3,,FFFFFF,000000
B0071,A003,203, อู่ท่าอิฐ - สนามหลวง,,3,,FFFFFF,000000
B0072,A003,204, ท่าน้ำราชวงศ์ - ห้วยขวาง,,3,,FFFFFF,000000
B0073,A003,205, คลองเตย - เดอะมอลล์,,3,,FFFFFF,000000
B0074,A003,206, อู่ศรีนครินทร์ - ม.เกษตร,,3,,FFFFFF,000000
B0075,A003,207ร, มหาวิทยาลัยรามคำแหง - วิทยาเขตรามคำแหง,,3,,FFFFFF,000000
B0076,A003,21, วัดคู่สร้าง - พาหุรัต,,3,,FFFFFF,000000
B0077,A003,22, อาคาร PTI - สวนสยาม,,3,,FFFFFF,000000
B0078,A003,23, สำโรง - เทเวศร์,,3,,FFFFFF,000000
B0079,A003,23ส, สำโรง - เทเวศร์,,3,,FFFFFF,000000
B0080,A003,24,  หมู่บ้านประชานิเวศน์ 3  - อนุสาวรีย์ชัยฯ,,3,,FFFFFF,000000
B0081,A003,25, ปากน้ำ - ท่าช้าง,,3,,FFFFFF,000000
B0082,A003,26, มีนบุรี -  อนุสาวรีย์ชัยฯ,,3,,FFFFFF,000000
B0083,A003,27ร, อนุเสาวรีย์ชัยสมรภูมิ - มีนบุรี,,3,,FFFFFF,000000
B0084,A003,28ร, สถานีขนส่งผู้โดยสารกรุงเทพฯ(จตุจักร) - สถานีขนส่งผู้โดยสารกรุงเทพฯ(ตลิ่งชัน),,3,,FFFFFF,000000
B0085,A003,29, หมู่บานรัตนโกสินทร์ 200 ปี  - สถานีรถไฟหัวลำโพง,,3,,FFFFFF,000000
B0086,A003,2ส, อู่เมกาบางนา - ปากคลองตลาด,,3,,FFFFFF,000000
B0087,A003,3, หมอชิต 2 - คลองสาร,,3,,FFFFFF,000000
B0088,A003,30ร, นนทบุรี - สถานีขนส่งสายใต้,,3,,FFFFFF,000000
B0089,A003,32, สะพานพระราม4 - วัดโพธิ์,,3,,FFFFFF,000000
B0090,A003,33ร, ปทุมธานี - สนามหลวง,,3,,FFFFFF,000000
B0091,A003,34, หมู่บ้านรัตนโกสินทร์ 200 ปี  -  สถานีรถไฟหัวลำโพง,,3,,FFFFFF,000000
B0092,A003,35ร, สถานีขนส่งผู้โดยสารกรุงเทพมหานคร(ตลิ่งชัน) - วัดสน,,3,,FFFFFF,000000
B0093,A003,36, ศูนย์วัฒนธรรม - ท่าน้ำสี่พระยา,,3,,FFFFFF,000000
B0094,A003,36ก, สวนสยาม - อนุสาวรีย์ชัย,,3,,FFFFFF,000000
B0095,A003,37, แจงร้อน - มหานาค,,3,,FFFFFF,000000
B0096,A003,38ร, สถาบันราชภัฎจันทรเกษม - วิทยาลัยรามคำแหง,,3,,FFFFFF,000000
B0097,A003,39, ตลาดไทย - อนุสาวรีย์ชัยสมรภูมิ,,3,,FFFFFF,000000
B0098,A003,4, ท่าเรือคลองเตย - ท่าน้ำภาษีเจริญ,,3,,FFFFFF,000000
B0099,A003,40ร, สถานีขนส่งผู้โดยสารกรุงเทพ(ตลิ่งชัน) - ลำสาลี,,3,,FFFFFF,000000
