stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
BS000188,วัดนิมมารนรดี,,13.7119358737097,100.423407330828,
BS000187,ตลาดบางแค,,13.7121106428567,100.425347278732,
BS000186,บ้านพักคนชราบางแค,,13.7122837363969,100.427423621949,
BS000185,ซอยเพชรเกษม 39,,13.71240770807705,100.429795991597,
BS000184,หน้าปั๊มน้ำมัน,,13.71255797238479,100.4312694559363,
BS000183,ห้างฟิวเจอร์ปาร์คบางแค,,13.7126558167192,100.434331524223,
BS000182,สภากาชาดที่ 11 วิเศษนิยม,,13.71296142405201,100.4361722075654,
BS000181,สำนักงานเขต ภาษีเจริญ,,13.7132969862325,100.439337386682,
BS000180,โรงเรียนญาภารักษ์การบริบาล,,13.71435991,100.44208492,
BS000179,ตรงข้ามซอยเพชรเกษม 48,,13.71499970257407,100.4442505779438,
BS000178,ม. สยาม,,13.7153544307444,100.445778587629,
BS000177,ซอยเพชรเกษม 19/1,,13.71602073657264,100.4473926259584,
BS000176,โรงเรียนชาญกิจวิทยา,,13.717026857836,100.450846547718,
BS000175,มหาวิทยาลัยสยาม,,13.7183257352414,100.454082987398,
BS000174,วัดประดู่บางจาก,,13.7194352742434,100.456134867884,
BS000173,หมู่บ้านไผ่ทองนิเวศน์,,13.72118855,100.45915001,
BS000172,ภัตตาคารเสริมมิตร,,13.7227459656409,100.461899785123,
BS000171,โรงพยาบาลพญาไท 3,,13.7237052814056,100.463697441729,
BS000170,ซอยเพชรเกษม 19/1,,13.72450077,100.46512925,
BS000169,วัดนวลนรดิศ,,13.72502750162749,100.4661870371959,
BS000168,โรงเรียนวิมลบริหารธุรกิจ,,13.7267809337865,100.4693763223,
BS000167,วัดประดู่ในทรงธรรม,,13.7276472683171,100.47103163275,
BS000166,สำนักงานเขตบางกอกใหญ่,,13.7283953362782,100.472417487618,
BS000165,แยกท่าพระ,,13.7290995041072,100.473731743647,
BS000164,สำนักงานเขตบางกอกใหญ่,,13.7272597921059,100.475031909205,
BS000163,ตลาดพลู,,13.7214552336807,100.476887088328,
BS000162,ตลาดพลู,,13.7205550113513,100.477051815145,
BS000161,ธนบุรีพลาซ่า,,13.7182485105432,100.477511389694,
BS000160,เดอะมอลล์ท่าพระ,,13.7136940913715,100.478455820911,
BS000159,ปั้มน้ำมันคิวเอด,,13.7115329297977,100.478917305553,
BS000158,รัชดาซอย 4,,13.7091682369956,100.479931717024,
BS000157,มไหสวรรค์,,13.7056423776104,100.483724322002,
